1938,1
1944,2
1945,1
1946,1
1947,1
1950,2
1951,2
1952,1
1953,1
1954,2
1955,2
1956,1
1957,3
1958,2
1959,1
1960,3
1961,2
1962,2
1963,3
1964,1
1965,5
1966,3
1967,2
1968,2
1969,2
1970,1
1971,3
1972,4
1973,5
1974,3
1975,3
1976,1
1977,3
1978,2
1979,3
1980,5
1981,2
1982,5
1983,4
1984,3
1985,2
1986,3
1987,3
1988,4
1989,4
1990,4
1991,3
1992,1
1993,3
1994,3
1995,2
1996,1
1997,1
1998,1
1999,2
2000,1
2001,5
2002,4
2003,4
2004,2
2005,4
2006,5
2007,4
2008,1
2009,3
2010,4
2011,2
2012,1
2013,1
2014,2
2015,2
2016,3
2019,1
